AGG_DESC,AGG_DESC_LABEL,FTE,FTE_CV,FT_EMP,FT_EMP_CV,FT_PAY,FT_PAY_CV,GEO_ID,NAME,GOVTYPE,GOVTYPE_LABEL,PT_EMP,PT_EMP_CV,PT_HRS,PT_HRS_F,PT_HRS_CV,PT_HRS_CV_F,PT_PAY,PT_PAY_CV,SVY_COMP,SVY_COMP_LABEL,TOT_EMP,TOT_EMP_CV,TOT_PAY,TOT_PAY_CV,YEAR,time,SVY_COMP,GOVTYPE,AGG_DESC,ucgid
EP0005,Total - All Government Employment Functions,17168870,0.08,15441814,0.09,99306766254,0.10,0100000US,United States,001,State and Local,4488676,0.05,0,N,0.00,N,7923899757,0.05,01,Annual Survey of Public Employment & Payroll,19930490,0.07,107230666011,0.09,2024,2024,01,001,EP0005,0100000US
EP0045,Financial Administration,436914,0.09,417921,0.10,2784719056,0.10,0100000US,United States,001,State and Local,51718,0.06,0,N,0.00,N,84502053,0.46,01,Annual Survey of Public Employment & Payroll,469639,0.09,2869221109,0.10,2024,2024,01,001,EP0045,0100000US
EP0085,Other Government Administration,291458,0.16,260754,0.17,1741731854,0.16,0100000US,United States,001,State and Local,178425,0.08,0,N,0.00,N,156031672,0.24,01,Annual Survey of Public Employment & Payroll,439179,0.11,1897763526,0.15,2024,2024,01,001,EP0085,0100000US
EP0125,Judicial and Legal,428922,0.12,413061,0.12,2938884168,0.08,0100000US,United States,001,State and Local,38362,0.20,0,N,0.00,N,85238998,0.30,01,Annual Survey of Public Employment & Payroll,451423,0.11,3024123166,0.07,2024,2024,01,001,EP0125,0100000US
EP0165,Police Protection Total,952690,0.12,918473,0.12,7525717455,0.14,0100000US,United States,001,State and Local,87257,0.19,0,N,0.00,N,137269148,0.18,01,Annual Survey of Public Employment & Payroll,1005730,0.11,7662986603,0.14,2024,2024,01,001,EP0165,0100000US
EP0205,Police Protection - Persons with Power of Arrest,711232,0.15,697749,0.16,6118928080,0.17,0100000US,United States,001,State and Local,33643,0.11,0,N,0.00,N,57178017,0.24,01,Annual Survey of Public Employment & Payroll,731392,0.15,6176106097,0.17,2024,2024,01,001,EP0205,0100000US
EP0245,Police Protection - Other,241458,0.13,220724,0.12,1406789375,0.10,0100000US,United States,001,State and Local,53614,0.30,0,N,0.00,N,80091131,0.25,01,Annual Survey of Public Employment & Payroll,274338,0.11,1486880506,0.10,2024,2024,01,001,EP0245,0100000US
EP0285,Fire Protection Total,399411,0.12,377934,0.11,3283217693,0.18,0100000US,United States,001,State and Local,102226,0.19,0,N,0.00,N,86196681,0.23,01,Annual Survey of Public Employment & Payroll,480160,0.10,3369414374,0.18,2024,2024,01,001,EP0285,0100000US
EP0325,Fire Protection - Firefighters,352992,0.13,335385,0.13,2940804181,0.20,0100000US,United States,001,State and Local,86932,0.21,0,N,0.00,N,68158699,0.23,01,Annual Survey of Public Employment & Payroll,422317,0.11,3008962880,0.20,2024,2024,01,001,EP0325,0100000US
EP0365,Fire Protection - Other,46419,0.20,42549,0.18,342413512,0.17,0100000US,United States,001,State and Local,15294,0.37,0,N,0.00,N,18037982,0.61,01,Annual Survey of Public Employment & Payroll,57843,0.16,360451494,0.16,2024,2024,01,001,EP0365,0100000US
EP0405,Corrections,648020,0.05,635737,0.05,4113748731,0.07,0100000US,United States,001,State and Local,23082,0.36,0,N,0.00,N,52075547,0.38,01,Annual Survey of Public Employment & Payroll,658819,0.05,4165824278,0.07,2024,2024,01,001,EP0405,0100000US
EP0445,Highways,489471,0.12,474471,0.12,2881185651,0.12,0100000US,United States,001,State and Local,31360,0.08,0,N,0.00,N,61904939,0.22,01,Annual Survey of Public Employment & Payroll,505831,0.11,2943090590,0.12,2024,2024,01,001,EP0445,0100000US
EP0485,Air Transportation,54374,0.27,52395,0.27,395471733,0.22,0100000US,United States,001,State and Local,3958,0.91,0,N,0.00,N,6797674,0.94,01,Annual Survey of Public Employment & Payroll,56353,0.26,402269407,0.22,2024,2024,01,001,EP0485,0100000US
EP0525,Sea and Inland Port Facilities,14852,0.40,14153,0.42,119419920,0.36,0100000US,United States,001,State and Local,1588,0.67,0,N,0.00,N,3287060,0.64,01,Annual Survey of Public Employment & Payroll,15741,0.38,122706980,0.35,2024,2024,01,001,EP0525,0100000US
EP0565,Public Welfare,525711,0.17,504495,0.17,2904551366,0.15,0100000US,United States,001,State and Local,38935,0.67,0,N,0.00,N,86704028,0.59,01,Annual Survey of Public Employment & Payroll,543430,0.17,2991255394,0.15,2024,2024,01,001,EP0565,0100000US
EP0605,Health,486547,0.10,456989,0.10,2900818821,0.11,0100000US,United States,001,State and Local,60431,0.24,0,N,0.00,N,152837783,0.25,01,Annual Survey of Public Employment & Payroll,517420,0.09,3053656604,0.10,2024,2024,01,001,EP0605,0100000US
EP0645,Hospitals,1087268,0.17,969768,0.19,7115007815,0.18,0100000US,United States,001,State and Local,206033,0.15,0,N,0.00,N,881119370,0.11,01,Annual Survey of Public Employment & Payroll,1175801,0.16,7996127185,0.16,2024,2024,01,001,EP0645,0100000US
EP0685,Social Insurance Administration,59700,0.00,58458,0.00,349651450,0.00,0100000US,United States,001,State and Local,1811,0.00,0,N,0.00,N,5862603,0.00,01,Annual Survey of Public Employment & Payroll,60269,0.00,355514053,0.00,2024,2024,01,001,EP0685,0100000US
EP0725,Solid Waste Management,104739,0.13,97230,0.13,555120883,0.20,0100000US,United States,001,State and Local,15825,0.24,0,N,0.00,N,21784385,0.76,01,Annual Survey of Public Employment & Payroll,113055,0.12,576905268,0.20,2024,2024,01,001,EP0725,0100000US
EP0765,Sewerage,127770,0.15,125036,0.16,828323395,0.22,0100000US,United States,001,State and Local,9226,0.17,0,N,0.00,N,11248707,0.28,01,Annual Survey of Public Employment & Payroll,134262,0.15,839572102,0.22,2024,2024,01,001,EP0765,0100000US
EP0805,Parks and Recreation,294762,0.35,206199,0.16,1122091002,0.24,0100000US,United States,001,State and Local,241136,0.41,0,N,0.00,N,260541751,0.38,01,Annual Survey of Public Employment & Payroll,447335,0.23,1382632753,0.20,2024,2024,01,001,EP0805,0100000US
EP0845,Housing and Community Development,110837,0.20,106059,0.21,675221413,0.42,0100000US,United States,001,State and Local,10536,0.25,0,N,0.00,N,17615887,0.42,01,Annual Survey of Public Employment & Payroll,116595,0.19,692837300,0.41,2024,2024,01,001,EP0845,0100000US
EP0885,Natural Resources,174863,0.06,160446,0.06,975445981,0.12,0100000US,United States,001,State and Local,32450,0.07,0,N,0.00,N,56638696,0.05,01,Annual Survey of Public Employment & Payroll,192896,0.05,1032084677,0.11,2024,2024,01,001,EP0885,0100000US
EP0925,Water Supply,183357,0.17,178356,0.17,1220427498,0.17,0100000US,United States,001,State and Local,16005,0.11,0,N,0.00,N,19177864,0.21,01,Annual Survey of Public Employment & Payroll,194361,0.16,1239605362,0.16,2024,2024,01,001,EP0925,0100000US
EP0965,Electric Power,80741,0.24,79442,0.24,822903295,0.22,0100000US,United States,001,State and Local,2296,0.63,0,N,0.00,N,6417496,0.44,01,Annual Survey of Public Employment & Payroll,81738,0.23,829320791,0.22,2024,2024,01,001,EP0965,0100000US
EP1005,Gas Supply,11596,0.44,11395,0.44,76123736,0.25,0100000US,United States,001,State and Local,392,2.82,0,N,0.00,N,764788,3.08,01,Annual Survey of Public Employment & Payroll,11787,0.43,76888524,0.25,2024,2024,01,001,EP1005,0100000US
EP1045,Transit,261110,0.19,252319,0.19,1927463095,0.16,0100000US,United States,001,State and Local,14162,0.50,0,N,0.00,N,34403649,0.64,01,Annual Survey of Public Employment & Payroll,266481,0.18,1961866744,0.16,2024,2024,01,001,EP1045,0100000US
EP1085,Education Total,9313664,0.14,8113827,0.16,48512706748,0.20,0100000US,United States,001,State and Local,3139228,0.06,0,N,0.00,N,5433267680,0.06,01,Annual Survey of Public Employment & Payroll,11253055,0.12,53945974428,0.18,2024,2024,01,001,EP1085,0100000US
EP1125,Education - Elementary and Secondary Total,7001780,0.18,6330489,0.20,35100864388,0.28,0100000US,United States,001,State and Local,1556337,0.10,0,N,0.00,N,2840225830,0.09,01,Annual Survey of Public Employment & Payroll,7886826,0.16,37941090218,0.26,2024,2024,01,001,EP1125,0100000US
EP1165,Education - Elementary and Secondary Instructional,4905964,0.25,4565598,0.27,27798340102,0.35,0100000US,United States,001,State and Local,834562,0.11,0,N,0.00,N,1587712447,0.12,01,Annual Survey of Public Employment & Payroll,5400160,0.23,29386052549,0.33,2024,2024,01,001,EP1165,0100000US
EP1205,Education - Elementary and Secondary Other,2095816,0.20,1764891,0.23,7302524286,0.25,0100000US,United States,001,State and Local,721775,0.17,0,N,0.00,N,1252513383,0.15,01,Annual Survey of Public Employment & Payroll,2486666,0.17,8555037669,0.22,2024,2024,01,001,EP1205,0100000US
EP1245,Education - Higher Education Total,2231320,0.05,1707008,0.03,12926683042,0.04,0100000US,United States,001,State and Local,1573335,0.06,0,N,0.00,N,2571411445,0.07,01,Annual Survey of Public Employment & Payroll,3280343,0.03,15498094487,0.03,2024,2024,01,001,EP1245,0100000US
EP1285,Education - Higher Education Instructional,774117,0.11,572599,0.05,5839303413,0.05,0100000US,United States,001,State and Local,591906,0.13,0,N,0.00,N,1419512276,0.12,01,Annual Survey of Public Employment & Payroll,1164505,0.07,7258815689,0.05,2024,2024,01,001,EP1285,0100000US
EP1325,Education - Higher Education Other,1457203,0.05,1134409,0.05,7087379629,0.05,0100000US,United States,001,State and Local,981429,0.05,0,N,0.00,N,1151899169,0.05,01,Annual Survey of Public Employment & Payroll,2115838,0.03,8239278798,0.04,2024,2024,01,001,EP1325,0100000US
EP1365,Education - Other,80564,0.00,76330,0.00,485159318,0.00,0100000US,United States,001,State and Local,9556,0.00,0,N,0.00,N,21630405,0.00,01,Annual Survey of Public Employment & Payroll,85886,0.00,506789723,0.00,2024,2024,01,001,EP1365,0100000US
EP1405,Libraries,129671,0.21,92627,0.25,492645100,0.22,0100000US,United States,001,State and Local,83757,0.18,0,N,0.00,N,121732594,0.33,01,Annual Survey of Public Employment & Payroll,176384,0.16,614377694,0.19,2024,2024,01,001,EP1405,0100000US
EP1445,State liquor stores,10641,0.00,7406,0.00,35782626,0.00,0100000US,United States,001,State and Local,6576,0.00,0,N,0.00,N,10655458,0.00,01,Annual Survey of Public Employment & Payroll,13982,0.00,46438084,0.00,2024,2024,01,001,EP1445,0100000US
EP1485,All other and unallocable,489781,0.08,456863,0.08,3008385769,0.08,0100000US,United States,001,State and Local,91901,0.18,0,N,0.00,N,129823246,0.21,01,Annual Survey of Public Employment & Payroll,548764,0.07,3138209015,0.08,2024,2024,01,001,EP1485,0100000US
